video_name,out_to_in_hand_path,early_downswing_out_vs_down,shaft_pitch_early_downswing,clubhead_above_plane,label
rapidsave.com_24hcp_slowmo_lessons_weekly_working_on_over_the-4kcr6j7yfdvg1.mp4,-0.1464177100146018,-0.8625270869267433,0.21755489706993103,0.03866928443312645,1
rapidsave.com_2nd_range_day_attempting_to_shallow_club-ur7my58ursse1.mp4,0.19050809724921416,0.9862257993443304,0.738073468208313,0.03866928443312645,1
rapidsave.com_2_years_in_still_over_the_top-wva1gdzq9g0h1.mp4,-0.0038103152581987518,-0.8072869116561474,0.5192391872406006,0.9159700274467468,1
rapidsave.com_always_over_the_top-juq6vp24qpz81.mp4,-0.38626598917218496,-0.9408244665510859,0.5173255205154419,-0.1618109792470932,1
rapidsave.com_am_i_over_the_top-g69h77tktaug1.mp4,-0.04385215931888489,-0.7977394843785299,0.826961874961853,0.4002855122089386,1
rapidsave.com_any_more_suggestions_trying_and_struggling_to_get-cj1enji9a6uf1.mp4,-0.2621033210777365,-0.5188805121770079,0.21755489706993103,0.03866928443312645,1
rapidsave.com_any_tips_on_how_to_not_go_over_the_top-t0qy1imjyp2h1.mp4,-0.3025903754979093,-0.9393183381612032,0.2570788562297821,0.606944739818573,1
rapidsave.com_been_struggling_with_coming_over_the_top_lately-ntbo5ykumvzg1.mp4,-0.03282955424595734,-1.0675108130743713,0.21755489706993103,0.03866928443312645,1
rapidsave.com_best_drills_to_get_really_shallow-gbgbghvhi1wd1.mp4,0.42119961157121805,-1.5446268604837148,0.21755489706993103,0.03866928443312645,1
rapidsave.com_cannot_stop_coming_over_the_top-p6diy3f3wl0h1.mp4,-0.17880481757795746,-1.0342307018284518,0.21755489706993103,0.03866928443312645,1
rapidsave.com_cannot_stop_coming_over_the_top-p6diy3f3wl0h12.mp4,0.20862834554382503,-1.4594004081334555,0.6121755242347717,0.03866928443312645,1
rapidsave.com_cannot_stop_coming_over_the_top-p6diy3f3wl0h13.mp4,-0.17327507171866552,-1.099329436161081,0.4969119727611542,0.03866928443312645,1
rapidsave.com_cant_seen_to_stop_coming_over_the_top-hoycp0xp2anf1.mp4,-0.13523779597664634,-0.6481656897190676,0.21755489706993103,0.03866928443312645,1
rapidsave.com_cant_seen_to_stop_coming_over_the_top-hoycp0xp2anf12.mp4,-0.13235550205462449,-0.9660861789419122,0.21755489706993103,0.05923518165946007,1
rapidsave.com_cant_stop_getting_over_the_top-wtulw4nsafvg1.mp4,-0.04389119718037673,-0.4085714566456025,0.21755489706993103,0.03866928443312645,1
rapidsave.com_coming_over_the_top-gxu31zcdro5h1.mp4,0.23788379877424334,0.5152542504807288,0.7066648602485657,0.4423690736293793,1
rapidsave.com_drills_to_get_more_shallow-xdgmq3e1komg1.mp4,-0.1423581561574555,-0.049757198552176224,0.5244464874267578,0.5951259732246399,1
rapidsave.com_front_yard_over_the_top-fvqr5m0vru3g1.mp4,-0.020997858336369263,-0.3321149186848616,0.21755489706993103,0.03866928443312645,1
rapidsave.com_havent_played_in_months_and_forgot_how_to_swing-k6kn3xvcdn4d1.mp4,-0.24763287243091137,-0.9487038703675909,0.21755489706993103,0.03866928443312645,1
rapidsave.com_having_trouble_with_going_over_the_top-6p5l6jaf8d7h1.mp4,-0.21063031302223661,-1.128606674427644,0.21755489706993103,0.7505950331687927,1
rapidsave.com_help_how_can_i_stop_going_over_the_top-iw3owp0deyxg1.mp4,-0.4190135952131018,-1.307515624737268,0.21755489706993103,0.03866928443312645,1
rapidsave.com_help_me_what_can_i_do_to_get_into_the_slot_and-izkxjlcqutbg1.mp4,-0.1351857720535702,-0.8293147370526158,0.4610011577606201,0.03866928443312645,1
rapidsave.com_help_over_the_top-x6y5086dbmyg1.mp4,-0.5880901312842125,-1.4281351272057248,0.21755489706993103,0.03866928443312645,1
rapidsave.com_help_please_everything_goes_right_coming_over_the-bnuc4ydqsieb1.mp4,0.3998242475083044,0.8285980812903593,0.21755489706993103,0.2477651983499527,1
rapidsave.com_how_bad_struggling_with_over_the_top_after_months-tkuvz8knfvyf1.mp4,-0.08801649233716778,-0.22785536495063968,0.21755489706993103,0.03866928443312645,1
rapidsave.com_how_can_i_avoid_over_the_top-3l2ey1cttu3f1.mp4,-0.05304483140578267,-0.2385817621813388,0.21755489706993103,0.06678108125925064,1
rapidsave.com_how_do_i_stop_coming_over_the_top-jj5tpth4w8kf1.mp4,-0.6510430354572654,-1.5328794649927397,0.7389178276062012,0.03866928443312645,1
rapidsave.com_im_having_trouble_shallowing-0sdtmw7i8mzg1.mp4,-0.1986487410035799,-0.706182733630826,0.33650970458984375,0.639427900314331,1
rapidsave.com_is_this_an_over_the_top_swing-vsa04an1novf1.mp4,0.05337376840792047,-1.2624784863461525,0.21755489706993103,0.03866928443312645,1
rapidsave.com_is_this_over_the_top_driver_inconsistent-cso87qz3zh0h1.mp4,-0.12191442506023853,-0.27665949452326694,0.21755489706993103,0.03866928443312645,1
rapidsave.com_i_know_im_over_the_top_but_why_am_i_over_the_top-pvmxmk1iic5h1.mp4,0.013170489331704277,-0.2906133020475294,0.26657748222351074,0.03866928443312645,1
rapidsave.com_i_know_i_come_over_the_top_i_cant_figure_out_why-aif8lxxbd6fb1.mp4,-0.03480884877197089,-1.5166392845205563,-0.0027265995740890503,0.03866928443312645,1
rapidsave.com_laid_off_at_the_top_over_the_top_on_the_way_down-68qspu14zacd1.mp4,0.17281342976603015,0.5375847961664701,0.4563151001930237,0.3486109673976898,1
